id,area,sort_order,code,category,competency,sub_competency,category_en,competency_en,sub_competency_en
240,SAL,32,1.7.2,1 Satışın İdarə Edilməsi – FMCG (Funksional),1.7 Revenue Growth Management (RGM) və Qiymətləmə,"1.7.2 Xalis gəlir rıçaqlarını idarə etmək (miks, qiymət, promo intensivliyi, ticarət şərtləri)",1 Sales Management – FMCG (Functional),1.7 Revenue Growth Management (RGM) & Pricing,"1.7.2 Manage net revenue levers (mix, price, promo intensity, trade terms)"
241,SAL,33,1.7.3,1 Satışın İdarə Edilməsi – FMCG (Funksional),1.7 Revenue Growth Management (RGM) və Qiymətləmə,"1.7.3 Qiymət uyğunluğunu, endirim davranışlarını və marja eroziyası risklərini izləmək",1 Sales Management – FMCG (Functional),1.7 Revenue Growth Management (RGM) & Pricing,"1.7.3 Monitor price compliance, discounting behavior, and margin erosion risks"
242,SAL,34,1.7.4,1 Satışın İdarə Edilməsi – FMCG (Funksional),1.7 Revenue Growth Management (RGM) və Qiymətləmə,1.7.4 Qiymət dəyişikliklərini dəstəkləmək üçün elastiklik və rəqib benchmark təhlilləri aparmaq,1 Sales Management – FMCG (Functional),1.7 Revenue Growth Management (RGM) & Pricing,1.7.4 Run elasticity and competitor benchmarking to support price moves
243,SAL,35,1.7.5,1 Satışın İdarə Edilməsi – FMCG (Funksional),1.7 Revenue Growth Management (RGM) və Qiymətləmə,1.7.5 Mənfəətliliyi və ədalətliliyi qorumaq üçün istisnaları və təsdiqləri idarə etmək,1 Sales Management – FMCG (Functional),1.7 Revenue Growth Management (RGM) & Pricing,1.7.5 Govern exceptions and approvals to protect profitability and fairness
244,SAL,36,1.8.1,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.8 Proqnozlaşdırma, S&OP Girişi və Mövcudluğun İdarə Edilməsi",1.8.1 Sell-out məlumatları və sahə məlumatlarına əsasən kanal/SKU üzrə bottom-up proqnozlar qurmaq,1 Sales Management – FMCG (Functional),"1.8 Forecasting, S&OP Input & Availability Management",1.8.1 Build bottom-up forecasts by channel/SKU using sell-out and field intelligence
245,SAL,37,1.8.2,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.8 Proqnozlaşdırma, S&OP Girişi və Mövcudluğun İdarə Edilməsi","1.8.2 Tələbat risklərini müəyyən etmək (promo sıçrayışları, mövsümsəllik, rəqabət) və azaldıcı tədbirlər təklif etmək",1 Sales Management – FMCG (Functional),"1.8 Forecasting, S&OP Input & Availability Management","1.8.2 Identify demand risks (promo spikes, seasonality, competition) and propose mitigations"
246,SAL,38,1.8.3,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.8 Proqnozlaşdırma, S&OP Girişi və Mövcudluğun İdarə Edilməsi","1.8.3 Proqnoz dəqiqliyini və qərəzliliyini izləmək, düzəldici tədbirlər həyata keçirmək",1 Sales Management – FMCG (Functional),"1.8 Forecasting, S&OP Input & Availability Management",1.8.3 Track forecast accuracy and bias; implement corrective actions
247,SAL,39,1.8.4,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.8 Proqnozlaşdırma, S&OP Girişi və Mövcudluğun İdarə Edilməsi",1.8.4 Məhdudiyyətlər şəraitində strateji kanalları və SKU-ları qorumaq üçün bölgü qərarlarını idarə etmək,1 Sales Management – FMCG (Functional),"1.8 Forecasting, S&OP Input & Availability Management",1.8.4 Manage allocation decisions under constraints to protect strategic channels and SKUs
248,SAL,40,1.8.5,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.8 Proqnozlaşdırma, S&OP Girişi və Mövcudluğun İdarə Edilməsi",1.8.5 Xroniki OOS və xidmət nasazlıqları üçün funksiyalararası həll prosesinə rəhbərlik etmək,1 Sales Management – FMCG (Functional),"1.8 Forecasting, S&OP Input & Availability Management",1.8.5 Lead cross-functional resolution for chronic OOS and service failures
249,SAL,41,1.9.1,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.9 Merchandising, Görünürlük və Perfect Store İcrası","1.9.1 Perfect store standartlarını müəyyən etmək (assortiment, yerləşdirmə, qiymət, POSM, əlavə sərgiləmə)",1 Sales Management – FMCG (Functional),"1.9 Merchandising, Visibility & Perfect Store Execution","1.9.1 Define perfect store standards (assortment, placement, pricing, POSM, secondary display)"
250,SAL,42,1.9.2,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.9 Merchandising, Görünürlük və Perfect Store İcrası","1.9.2 POSM həyat dövrünü idarə etmək (planlama, yerləşdirmə, texniki baxım, uyğunluq yoxlamaları)",1 Sales Management – FMCG (Functional),"1.9 Merchandising, Visibility & Perfect Store Execution","1.9.2 Manage POSM lifecycle (planning, deployment, maintenance, compliance checks)"
251,SAL,43,1.9.3,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.9 Merchandising, Görünürlük və Perfect Store İcrası",1.9.3 Auditlər/fotolar/tətbiqlər vasitəsilə icranı izləmək və boşluqları aydın tədbirlərlə bağlamaq,1 Sales Management – FMCG (Functional),"1.9 Merchandising, Visibility & Perfect Store Execution",1.9.3 Run execution tracking via audits/photos/apps and close gaps with clear actions
252,SAL,44,1.9.4,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.9 Merchandising, Görünürlük və Perfect Store İcrası","1.9.4 Aktivləşdirmələr, planogramlar və retailer tələbləri üzrə trade marketing ilə koordinasiya etmək",1 Sales Management – FMCG (Functional),"1.9 Merchandising, Visibility & Perfect Store Execution","1.9.4 Coordinate with trade marketing on activations, planograms, and retailer requirements"
253,SAL,45,1.9.5,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.9 Merchandising, Görünürlük və Perfect Store İcrası","1.9.5 İcranın satışa təsirini ölçmək (OSA, rəf payı, display ROI)",1 Sales Management – FMCG (Functional),"1.9 Merchandising, Visibility & Perfect Store Execution","1.9.5 Quantify execution impact on sales (OSA, share of shelf, display ROI)"
254,SAL,46,1.10.1,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.10 Satış Bacarıqları, Təşviqlər və Performansın İdarə Edilməsi","1.10.1 Rol əsaslı bacarıq standartlarını və sahə playbook-larını müəyyən etmək (skriptlər, etirazlar, rutinlər)",1 Sales Management – FMCG (Functional),"1.10 Sales Capability, Incentives & Performance Management","1.10.1 Define role-based capability standards and field playbooks (scripts, objections, routines)"
255,SAL,47,1.10.2,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.10 Satış Bacarıqları, Təşviqlər və Performansın İdarə Edilməsi","1.10.2 Menecerlərə sahə effektivliyi üzrə kouçinq vermək (birgə sahə səfərləri, geribildirim, pipeline intizamı)",1 Sales Management – FMCG (Functional),"1.10 Sales Capability, Incentives & Performance Management","1.10.2 Coach managers on field effectiveness (ride-alongs, feedback, pipeline discipline)"
256,SAL,48,1.10.3,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.10 Satış Bacarıqları, Təşviqlər və Performansın İdarə Edilməsi","1.10.3 Strategiyaya uyğun təşviq sxemləri hazırlamaq (ND, OSA, fokus SKU-lar, yığımlar, uyğunluq)",1 Sales Management – FMCG (Functional),"1.10 Sales Capability, Incentives & Performance Management","1.10.3 Design incentive schemes aligned to strategy (ND, OSA, focus SKUs, collections, compliance)"
257,SAL,49,1.10.4,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.10 Satış Bacarıqları, Təşviqlər və Performansın İdarə Edilməsi","1.10.4 Performans icmallarını, kalibrasiyaları və düzəldici performans planlarını idarə etmək",1 Sales Management – FMCG (Functional),"1.10 Sales Capability, Incentives & Performance Management","1.10.4 Run performance reviews, calibrations, and corrective performance plans"
258,SAL,50,1.10.5,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.10 Satış Bacarıqları, Təşviqlər və Performansın İdarə Edilməsi",1.10.5 Kritik satış rolları üçün varislik planını və ehtiyat kadr gücünü formalaşdırmaq,1 Sales Management – FMCG (Functional),"1.10 Sales Capability, Incentives & Performance Management",1.10.5 Build succession and bench strength for critical sales roles
259,SAL,51,1.11.1,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.11 Satış Əməliyyatları, CRM və Rəqəmsal Enablement","1.11.1 CRM/SFA intizamını tətbiq etmək (zəng planları, görüş nəticələri, pipeline, fəaliyyətlər)",1 Sales Management – FMCG (Functional),"1.11 Sales Operations, CRM & Digital Enablement","1.11.1 Implement CRM/SFA discipline (call plans, visit outcomes, pipeline, actions)"
260,SAL,52,1.11.2,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.11 Satış Əməliyyatları, CRM və Rəqəmsal Enablement","1.11.2 Master data keyfiyyətini təmin etmək (satış nöqtələri, qiymətlər, şərtlər, marşrutlar, iyerarxiyalar)",1 Sales Management – FMCG (Functional),"1.11 Sales Operations, CRM & Digital Enablement","1.11.2 Ensure master data quality (outlets, pricing, terms, routes, hierarchies)"
261,SAL,53,1.11.3,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.11 Satış Əməliyyatları, CRM və Rəqəmsal Enablement","1.11.3 İcra, distribusiya, mövcudluq və trade spend nəzarəti üçün dashboard-lar qurmaq",1 Sales Management – FMCG (Functional),"1.11 Sales Operations, CRM & Digital Enablement","1.11.3 Build dashboards for execution, distribution, availability, and trade spend control"
262,SAL,54,1.11.4,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.11 Satış Əməliyyatları, CRM və Rəqəmsal Enablement",1.11.4 Standart proseslər vasitəsilə hesabatlılığı avtomatlaşdırmaq və “kölgə sistemləri” azaltmaq,1 Sales Management – FMCG (Functional),"1.11 Sales Operations, CRM & Digital Enablement",1.11.4 Automate reporting and reduce “shadow systems” through standard processes
263,SAL,55,1.11.5,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.11 Satış Əməliyyatları, CRM və Rəqəmsal Enablement","1.11.5 Təlim, uyğunluq monitorinqi və istifadəçi geribildirim dövrləri vasitəsilə istifadəni artırmaq",1 Sales Management – FMCG (Functional),"1.11 Sales Operations, CRM & Digital Enablement","1.11.5 Drive adoption through training, compliance monitoring, and user feedback loops"
264,SAL,56,1.12.1,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.12 Kredit Riski, Yığımlar və Kommersiya Nəzarətləri",1.12.1 Müştəri/distribyutor risk profilinə görə kredit siyasətlərini və limitlərini müəyyən etmək,1 Sales Management – FMCG (Functional),"1.12 Credit Risk, Collections & Commercial Controls",1.12.1 Set credit policies and limits by customer/distributor risk profile
265,SAL,57,1.12.2,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.12 Kredit Riski, Yığımlar və Kommersiya Nəzarətləri","1.12.2 AR aging-i və gecikmiş borc riskini izləmək, intizamlı geri yığım tədbirləri görmək",1 Sales Management – FMCG (Functional),"1.12 Credit Risk, Collections & Commercial Controls","1.12.2 Monitor AR aging, overdue risk, and take disciplined recovery actions"
266,SAL,58,1.12.3,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.12 Kredit Riski, Yığımlar və Kommersiya Nəzarətləri","1.12.3 Geri qaytarmaları, iddiaları və tutulmaları kök səbəb təhlili və önləyici tədbirlərlə idarə etmək",1 Sales Management – FMCG (Functional),"1.12 Credit Risk, Collections & Commercial Controls","1.12.3 Manage returns, claims, and deductions with root-cause and prevention"
267,SAL,59,1.12.4,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.12 Kredit Riski, Yığımlar və Kommersiya Nəzarətləri","1.12.4 Müqavilə idarəetməsini, təsdiqləri və audit hazırlığını qoruyub saxlamaq",1 Sales Management – FMCG (Functional),"1.12 Credit Risk, Collections & Commercial Controls","1.12.4 Maintain contract governance, approvals, and audit readiness"
268,SAL,60,1.12.5,1 Satışın İdarə Edilməsi – FMCG (Funksional),"1.12 Kredit Riski, Yığımlar və Kommersiya Nəzarətləri","1.12.5 Nəzarətlər, vəzifələrin ayrılması və yoxlamalar vasitəsilə dələduzluq və sızmaların qarşısını almaq",1 Sales Management – FMCG (Functional),"1.12 Credit Risk, Collections & Commercial Controls","1.12.5 Prevent fraud and leakage through controls, segregation of duties, and checks"
269,SAL,61,2.1.1,2 Liderlik və Kommersiya Effektivliyi (Davranış),2.1 Strateji Düşüncə və Kommersiya Düşüncəsi,2.1.1 Sahədəki reallıqları kateqoriya strategiyası və mənfəət nəticələri ilə əlaqələndirmək,2 Leadership & Commercial Effectiveness (Behavioral),2.1 Strategic Thinking & Commercial Acumen,2.1.1 Connect field realities to category strategy and profit delivery
270,SAL,62,2.1.2,2 Liderlik və Kommersiya Effektivliyi (Davranış),2.1 Strateji Düşüncə və Kommersiya Düşüncəsi,"2.1.2 Xidmət xərci, marja və böyümə rıçaqlarından istifadə etməklə kompromislər qurmaq",2 Leadership & Commercial Effectiveness (Behavioral),2.1 Strategic Thinking & Commercial Acumen,"2.1.2 Make trade-offs using cost-to-serve, margin, and growth levers"
271,SAL,63,2.1.3,2 Liderlik və Kommersiya Effektivliyi (Davranış),2.1 Strateji Düşüncə və Kommersiya Düşüncəsi,2.1.3 Bazar pozuntularını qabaqcadan görmək və alternativ cavab planları hazırlamaq,2 Leadership & Commercial Effectiveness (Behavioral),2.1 Strategic Thinking & Commercial Acumen,2.1.3 Anticipate market disruptions and build contingency responses
272,SAL,64,2.1.4,2 Liderlik və Kommersiya Effektivliyi (Davranış),2.1 Strateji Düşüncə və Kommersiya Düşüncəsi,2.1.4 Az sayda böyük prioriteti önə çəkmək və aşağı dəyərli fəaliyyətləri dayandırmaq,2 Leadership & Commercial Effectiveness (Behavioral),2.1 Strategic Thinking & Commercial Acumen,2.1.4 Prioritize the “few big bets” and stop low-value activities
273,SAL,65,2.1.5,2 Liderlik və Kommersiya Effektivliyi (Davranış),2.1 Strateji Düşüncə və Kommersiya Düşüncəsi,"2.1.5 Qərarları hekayələrə deyil, faktlara əsaslandırmaq və fərziyyələri aydın sənədləşdirmək",2 Leadership & Commercial Effectiveness (Behavioral),2.1 Strategic Thinking & Commercial Acumen,"2.1.5 Drive decisions with facts, not anecdotes, and document assumptions clearly"
274,SAL,66,2.2.1,2 Liderlik və Kommersiya Effektivliyi (Davranış),2.2 Müştəriyönümlülük və Münasibətlərin Qurulması,2.2.1 Kanal üzrə müştəri iqtisadiyyatını və qərarvermə amillərini anlamaq,2 Leadership & Commercial Effectiveness (Behavioral),2.2 Customer Centricity & Relationship Building,2.2.1 Understand customer economics and decision drivers by channel
275,SAL,67,2.2.2,2 Liderlik və Kommersiya Effektivliyi (Davranış),2.2 Müştəriyönümlülük və Münasibətlərin Qurulması,"2.2.2 Etibarlılıq, şəffaflıq və dəyər yaratmaqla inam qurmaq",2 Leadership & Commercial Effectiveness (Behavioral),2.2 Customer Centricity & Relationship Building,"2.2.2 Build trust through reliability, transparency, and value creation"
276,SAL,68,2.2.3,2 Liderlik və Kommersiya Effektivliyi (Davranış),2.2 Müştəriyönümlülük və Münasibətlərin Qurulması,2.2.3 Uzunmüddətli tərəfdaşlıqlara zərər vermədən münaqişələri və danışıqları idarə etmək,2 Leadership & Commercial Effectiveness (Behavioral),2.2 Customer Centricity & Relationship Building,2.2.3 Manage conflict and negotiations without damaging long-term partnerships
277,SAL,69,2.2.4,2 Liderlik və Kommersiya Effektivliyi (Davranış),2.2 Müştəriyönümlülük və Münasibətlərin Qurulması,2.2.4 Müştəri ehtiyaclarına uyğunlaşmaqla yanaşı brendi və icra standartlarını qorumaq,2 Leadership & Commercial Effectiveness (Behavioral),2.2 Customer Centricity & Relationship Building,2.2.4 Protect brand and execution standards while adapting to customer needs
278,SAL,70,2.2.5,2 Liderlik və Kommersiya Effektivliyi (Davranış),2.2 Müştəriyönümlülük və Münasibətlərin Qurulması,2.2.5 Öhdəliklər və fəaliyyət jurnalları üzrə intizamlı izləmə aparmaq,2 Leadership & Commercial Effectiveness (Behavioral),2.2 Customer Centricity & Relationship Building,2.2.5 Maintain disciplined follow-through on commitments and action logs
279,SAL,71,2.3.1,2 Liderlik və Kommersiya Effektivliyi (Davranış),2.3 İnsan Liderliyi və Kouçinq,"2.3.1 İcra üçün aydın istiqamət, standartlar və güzəştə gedilməyən tələblər müəyyən etmək",2 Leadership & Commercial Effectiveness (Behavioral),2.3 People Leadership & Coaching,"2.3.1 Set clear direction, standards, and non-negotiables for execution"
280,SAL,72,2.3.2,2 Liderlik və Kommersiya Effektivliyi (Davranış),2.3 İnsan Liderliyi və Kouçinq,2.3.2 Müşahidə (birgə sahə səfərləri) və konkret performans geribildirimi ilə kouçinq vermək,2 Leadership & Commercial Effectiveness (Behavioral),2.3 People Leadership & Coaching,2.3.2 Coach through observation (ride-alongs) and specific performance feedback
281,SAL,73,2.3.3,2 Liderlik və Kommersiya Effektivliyi (Davranış),2.3 İnsan Liderliyi və Kouçinq,2.3.3 Müxtəlif satış rolları üçün bacarıq planları və öyrənmə yolları hazırlamaq,2 Leadership & Commercial Effectiveness (Behavioral),2.3 People Leadership & Coaching,2.3.3 Develop capability plans and learning paths for different sales roles
282,SAL,74,2.3.4,2 Liderlik və Kommersiya Effektivliyi (Davranış),2.3 İnsan Liderliyi və Kouçinq,"2.3.4 Hesabatlılıq, tanınma və intizamlı rutinlər mədəniyyəti qurmaq",2 Leadership & Commercial Effectiveness (Behavioral),2.3 People Leadership & Coaching,"2.3.4 Build a culture of accountability, recognition, and disciplined routines"
283,SAL,75,2.3.5,2 Liderlik və Kommersiya Effektivliyi (Davranış),2.3 İnsan Liderliyi və Kouçinq,2.3.5 Aşağı performansı ədalətli və sənədləşdirilmiş tədbirlərlə çevik idarə etmək,2 Leadership & Commercial Effectiveness (Behavioral),2.3 People Leadership & Coaching,2.3.5 Manage underperformance promptly with fair and documented actions
284,SAL,76,2.4.1,2 Liderlik və Kommersiya Effektivliyi (Davranış),"2.4 Təsir, Kommunikasiya və Funksiyalararası Liderlik","2.4.1 Marketinq, maliyyə və təchizat zəncirini ortaq kommersiya nəticələri ətrafında uyğunlaşdırmaq",2 Leadership & Commercial Effectiveness (Behavioral),"2.4 Influence, Communication & Cross-Functional Leadership","2.4.1 Align marketing, finance, and supply chain around shared commercial outcomes"
285,SAL,77,2.4.2,2 Liderlik və Kommersiya Effektivliyi (Davranış),"2.4 Təsir, Kommunikasiya və Funksiyalararası Liderlik","2.4.2 Qiymətləmə, promolar və investisiyalar üçün aydın biznes əsaslandırmaları təqdim etmək",2 Leadership & Commercial Effectiveness (Behavioral),"2.4 Influence, Communication & Cross-Functional Leadership","2.4.2 Present clear business cases for pricing, promos, and investments"
286,SAL,78,2.4.3,2 Liderlik və Kommersiya Effektivliyi (Davranış),"2.4 Təsir, Kommunikasiya və Funksiyalararası Liderlik","2.4.3 Riskləri erkən mərhələdə variantlar, kompromislər və tövsiyə olunan qərarlarla eskalasiya etmək",2 Leadership & Commercial Effectiveness (Behavioral),"2.4 Influence, Communication & Cross-Functional Leadership","2.4.3 Escalate risks early with options, trade-offs, and recommended decisions"
287,SAL,79,2.4.4,2 Liderlik və Kommersiya Effektivliyi (Davranış),"2.4 Təsir, Kommunikasiya və Funksiyalararası Liderlik",2.4.4 Prioritetləri sahə strukturlarının bütün səviyyələrində sadə və ardıcıl şəkildə çatdırmaq,2 Leadership & Commercial Effectiveness (Behavioral),"2.4 Influence, Communication & Cross-Functional Leadership",2.4.4 Communicate priorities simply and consistently across field layers
288,SAL,80,2.4.5,2 Liderlik və Kommersiya Effektivliyi (Davranış),"2.4 Təsir, Kommunikasiya və Funksiyalararası Liderlik",2.4.5 Proqnozlaşdırıla bilənlik və məlumat bütövlüyü ilə stakeholder inamı qurmaq,2 Leadership & Commercial Effectiveness (Behavioral),"2.4 Influence, Communication & Cross-Functional Leadership",2.4.5 Build stakeholder trust through predictability and data integrity
289,SAL,81,2.5.1,2 Liderlik və Kommersiya Effektivliyi (Davranış),"2.5 Hesabatlılıq, Dürüstlük və İcra İntizamı",2.5.1 Nəticələrə ucdan-uca sahib çıxmaq və nəticələr əldə olunana qədər dövrələri bağlamaq,2 Leadership & Commercial Effectiveness (Behavioral),"2.5 Accountability, Integrity & Execution Discipline",2.5.1 Own results end-to-end and close loops until outcomes are delivered
290,SAL,82,2.5.2,2 Liderlik və Kommersiya Effektivliyi (Davranış),"2.5 Hesabatlılıq, Dürüstlük və İcra İntizamı","2.5.2 Endirimlər, iddialar və müqavilələrdə uyğunluq və etik standartlara riayət etmək",2 Leadership & Commercial Effectiveness (Behavioral),"2.5 Accountability, Integrity & Execution Discipline","2.5.2 Uphold compliance and ethical standards in discounts, claims, and contracts"
291,SAL,83,2.5.3,2 Liderlik və Kommersiya Effektivliyi (Davranış),"2.5 Hesabatlılıq, Dürüstlük və İcra İntizamı","2.5.3 Rutinlərdə, hesabatlılıqda və standartlarda əməliyyat intizamını qorumaq",2 Leadership & Commercial Effectiveness (Behavioral),"2.5 Accountability, Integrity & Execution Discipline","2.5.3 Maintain operational discipline in routines, reporting, and standards"
292,SAL,84,2.5.4,2 Liderlik və Kommersiya Effektivliyi (Davranış),"2.5 Hesabatlılıq, Dürüstlük və İcra İntizamı",2.5.4 Uğursuzluqlardan kök səbəb və önləyici tədbirlər vasitəsilə öyrənmək,2 Leadership & Commercial Effectiveness (Behavioral),"2.5 Accountability, Integrity & Execution Discipline",2.5.4 Learn from misses through root-cause and preventive actions
293,SAL,85,2.5.5,2 Liderlik və Kommersiya Effektivliyi (Davranış),"2.5 Hesabatlılıq, Dürüstlük və İcra İntizamı",2.5.5 Təzyiq altında dayanıqlılığı qorumaq və komandaların idarə oluna bilən amillərə fokusunu saxlamaq,2 Leadership & Commercial Effectiveness (Behavioral),"2.5 Accountability, Integrity & Execution Discipline",2.5.5 Stay resilient under pressure and keep teams focused on controllables
294,MKT,1,1.1.1,1 Marketinq və Brendin İdarə Edilməsi (Funksional),1.1 Brend Strategiyası və Mövqeləndirmə,"1.1.1 Korporativ strategiyaya uyğun aydın brend məqsədini, vizyonunu və dəyər təklifini müəyyən etmək",1 Marketing & Brand Management (Functional),1.1 Brand Strategy & Positioning,"1.1.1 Define clear brand purpose, vision, and value proposition aligned to corporate strategy"
295,MKT,2,1.1.2,1 Marketinq və Brendin İdarə Edilməsi (Funksional),1.1 Brend Strategiyası və Mövqeləndirmə,1.1.2 Portfellər və alt-brendlər üzrə brend arxitekturasını hazırlamaq və davamlı saxlamaq,1 Marketing & Brand Management (Functional),1.1 Brand Strategy & Positioning,1.1.2 Develop and maintain brand architecture across portfolios and sub-brands
296,MKT,3,1.1.3,1 Marketinq və Brendin İdarə Edilməsi (Funksional),1.1 Brend Strategiyası və Mövqeləndirmə,1.1.3 İstehlakçı insaytlarını fərqləndirilmiş brend mövqeləndirməsinə çevirmək,1 Marketing & Brand Management (Functional),1.1 Brand Strategy & Positioning,1.1.3 Translate consumer insights into differentiated brand positioning
297,MKT,4,1.1.4,1 Marketinq və Brendin İdarə Edilməsi (Funksional),1.1 Brend Strategiyası və Mövqeləndirmə,1.1.4 Bütün təmas nöqtələri və kanallar üzrə brend ardıcıllığını təmin etmək,1 Marketing & Brand Management (Functional),1.1 Brand Strategy & Positioning,1.1.4 Ensure brand consistency across all touchpoints and channels
298,MKT,5,1.2.1,1 Marketinq və Brendin İdarə Edilməsi (Funksional),1.2 Bazar və İstehlakçı İnsaytı,1.2.1 Keyfiyyət və kəmiyyət əsaslı istehlakçı araşdırmalarını dizayn etmək və şərh etmək,1 Marketing & Brand Management (Functional),1.2 Market & Consumer Insight,1.2.1 Design and interpret qualitative and quantitative consumer research
299,MKT,6,1.2.2,1 Marketinq və Brendin İdarə Edilməsi (Funksional),1.2 Bazar və İstehlakçı İnsaytı,"1.2.2 Bazar trendlərini, kateqoriya dinamikasını və rəqabət mühitini təhlil etmək",1 Marketing & Brand Management (Functional),1.2 Market & Consumer Insight,"1.2.2 Analyze market trends, category dynamics, and competitive landscapes"
300,MKT,7,1.2.3,1 Marketinq və Brendin İdarə Edilməsi (Funksional),1.2 Bazar və İstehlakçı İnsaytı,1.2.3 Məlumatları icra oluna bilən istehlakçı və shopper insaytlarına çevirmək,1 Marketing & Brand Management (Functional),1.2 Market & Consumer Insight,1.2.3 Translate data into actionable consumer and shopper insights
301,MKT,8,1.2.4,1 Marketinq və Brendin İdarə Edilməsi (Funksional),1.2 Bazar və İstehlakçı İnsaytı,"1.2.4 Testlər, pilotlar və kampaniyadan sonrakı təhlillər vasitəsilə insaytları təsdiqləmək",1 Marketing & Brand Management (Functional),1.2 Market & Consumer Insight,"1.2.4 Validate insights through testing, pilots, and post-campaign analysis"
302,MKT,9,1.3.1,1 Marketinq və Brendin İdarə Edilməsi (Funksional),1.3 Marketinq Strategiyası və Planlama,1.3.1 İnteqrasiya olunmuş illik və uzunmüddətli marketinq strategiyaları hazırlamaq,1 Marketing & Brand Management (Functional),1.3 Marketing Strategy & Planning,1.3.1 Develop integrated annual and long-term marketing strategies
303,MKT,10,1.3.2,1 Marketinq və Brendin İdarə Edilməsi (Funksional),1.3 Marketinq Strategiyası və Planlama,"1.3.2 Aydın məqsədləri, KPI-ları və uğur göstəricilərini müəyyən etmək",1 Marketing & Brand Management (Functional),1.3 Marketing Strategy & Planning,"1.3.2 Define clear objectives, KPIs, and success metrics"
304,MKT,11,1.3.3,1 Marketinq və Brendin İdarə Edilməsi (Funksional),1.3 Marketinq Strategiyası və Planlama,1.3.3 Büdcələri ROI və strateji prioritetlər əsasında bölüşdürmək,1 Marketing & Brand Management (Functional),1.3 Marketing Strategy & Planning,1.3.3 Allocate budgets based on ROI and strategic priorities
305,MKT,12,1.3.4,1 Marketinq və Brendin İdarə Edilməsi (Funksional),1.3 Marketinq Strategiyası və Planlama,"1.3.4 Marketinq planlarını satış, təchizat zənciri və maliyyə ilə uyğunlaşdırmaq",1 Marketing & Brand Management (Functional),1.3 Marketing Strategy & Planning,"1.3.4 Align marketing plans with sales, supply chain, and finance"
306,MKT,13,1.4.1,1 Marketinq və Brendin İdarə Edilməsi (Funksional),1.4 Kampaniya Strategiyası və İcra,"1.4.1 İnteqrə olunmuş ATL, BTL və rəqəmsal kampaniya konseptlərini hazırlamaq",1 Marketing & Brand Management (Functional),1.4 Campaign Strategy & Execution,"1.4.1 Design integrated ATL, BTL, and digital campaign concepts"
307,MKT,14,1.4.2,1 Marketinq və Brendin İdarə Edilməsi (Funksional),1.4 Kampaniya Strategiyası və İcra,1.4.2 Yaradıcılıq keyfiyyətini təmin etmək üçün agentlikləri və tərəfdaşları idarə etmək,1 Marketing & Brand Management (Functional),1.4 Campaign Strategy & Execution,1.4.2 Manage agencies and partners to deliver creative excellence
308,MKT,15,1.4.3,1 Marketinq və Brendin İdarə Edilməsi (Funksional),1.4 Kampaniya Strategiyası və İcra,"1.4.3 Kampaniyaları vaxtında, skopa uyğun və büdcə çərçivəsində icra etmək",1 Marketing & Brand Management (Functional),1.4 Campaign Strategy & Execution,"1.4.3 Execute campaigns on time, within scope, and budget"
309,MKT,16,1.4.4,1 Marketinq və Brendin İdarə Edilməsi (Funksional),1.4 Kampaniya Strategiyası və İcra,1.4.4 Performansı izləmək və kampaniyaları gedişat zamanı optimallaşdırmaq,1 Marketing & Brand Management (Functional),1.4 Campaign Strategy & Execution,1.4.4 Monitor performance and optimize campaigns in-flight
310,MKT,17,1.5.1,1 Marketinq və Brendin İdarə Edilməsi (Funksional),1.5 Rəqəmsal və Performans Marketinqi,1.5.1 Kanal-spesifik rəqəmsal marketinq strategiyaları hazırlamaq,1 Marketing & Brand Management (Functional),1.5 Digital & Performance Marketing,1.5.1 Develop channel-specific digital marketing strategies
311,MKT,18,1.5.2,1 Marketinq və Brendin İdarə Edilməsi (Funksional),1.5 Rəqəmsal və Performans Marketinqi,"1.5.2 Ödənişli media, SEO, SEM və sosial media performansını idarə etmək",1 Marketing & Brand Management (Functional),1.5 Digital & Performance Marketing,"1.5.2 Manage paid media, SEO, SEM, and social performance"
